"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central African Republic","CAF","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1168.89763805113","1218.18033861103","1259.22116279715","1317.84519162826","839.122120708545","837.630962062813","869.825918269544","903.077833017084","959.310089079237","","","",
"Canada","CAN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32924.8134179478","33475.6999687155","34501.0977310314","36135.2111631013","36170.1192829861","37137.2209987197","38237.8754950227","39490.6955057426","41128.4143531682","42630.7454181329","45202.7288959393","45157.9005375518","43246.8841582764","43961.0420122451","44934.9684715733","45291.1718148771","45977.9184896177","46782.7986243171","46798.9786620941","46884.6162200539","47702.6374889171","47969.5537924671","48377.3607859716","45315.5662553972",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13625.2679220581","14305.9898529943","14552.2457480542","14995.8124156799","15249.5467838668","15940.3993366707","16550.8024272252","17295.6067695407","17811.8057580037","18739.3920105134","19875.9001521061","21108.3232794042","22243.579577017","23612.8716813404","22939.4111404051","23227.0687833898","23940.0366813149","24268.1655927727","24772.0358312457","25550.3182685709","26506.8240576375","27420.7916612474","28870.2831877189","30217.5184854685","31540.3357152682","",
"Switzerland","CHE","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55248.7544840975","55410.3050537954","57453.7088901007","59276.1357592637","60456.5582808197","63082.6315641827","62103.4251116621","60895.7933839141","62728.784530853","63822.6188496242","66506.7247654815","68151.079854682","65879.2818928036","62257.9187622198","65428.912135271","69405.2290106774","66913.3403538499","67763.2603749177","68146.2578379105","67772.4285170567","69453.92541221","68972.7662120216","67870.5778009868","69217.0174053309","71367.1379976005","",
"Channel Islands","CHI","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9442.15859211869","10022.5901231698","11053.6559589148","11664.0390356943","11940.5763247949","12868.6666657278","13619.4146177093","14453.4713404069","14994.831483794","14669.4911538392","15180.1903872006","15535.5709515022","15770.8051846241","15914.5354145742","16483.9291661674","17117.0709804677","17150.8236688922","17993.3980825989","19296.4254361263","18968.0911526966","19725.0595662922","20956.2165166077","22200.843116648","22808.4234228778","23269.5304222936","23732.7535535115","23787.7639453489","23458.6444976379","23901.3111153976","24075.7976576031","22283.1389059159",
"China","CHN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2361.3864049589","2571.20108708038","2786.74961399838","2964.65560719427","3171.5270204058","3416.4798303574","3666.40173424976","3988.391844874","4376.63954175003","4805.64857375451","5299.35696841407","5969.08531610227","6810.15528275612","7457.82041066706","8056.02497145045","8846.37140559911","9596.32438596523","10373.5365502934","11059.9096590703","11932.365787886","12643.8819442216","13433.5920707463","14333.1332032247","15161.0961620872","16054.7157693856","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3512.20889505138","3539.66533315293","3526.88836232896","3291.87886536449","3575.939491157","3756.81247940263","4056.68114661073","4322.05640796676","4512.45954290206","4686.90047279373","4839.89330501527","5074.64459450147","",
"Cameroon","CMR","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3100.52963448314","2834.51132656665","2700.52679657114","2419.85954314392","2388.52793901569","2400.36172977963","2437.11032035832","2494.30303556529","2571.28490875251","2618.46550645676","2588.99605598258","2609.83362418595","2673.95505279367","2788.79524855323","2935.08328926233","2901.69133001849","2963.72356790745","2996.2511587562","3037.12049880858","3054.69424663673","3055.78712426887","3094.84580602417","3132.00945099886","3199.6211629698","3335.04772208784","3410.45753662522","3464.64058762829","3487.37711230464","3533.97870954834","3570.81298137918","3522.71442432846",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","954.144014137095","910.536731730569","948.668929254845","868.922053214576","840.07085928328","758.142165889848","739.697972308602","682.749959408387","694.630033339412","716.587816889708","737.594515193671","748.505884322776","771.190948591899","787.43139752254","787.435066511164","803.112999888733","829.880394172454","847.512457835694","870.26078271684","875.342019922602","931.759243065124","979.89982703109","1035.32450447261","1029.88330790774","1057.0087669567","1067.54150455457","1045.65487337931",
"Congo, Rep.","COG","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4375.05922336963","4408.53891910557","4512.70639504936","4133.58378821023","3905.18910329632","3171.35089913479","3195.99508890772","3481.41075461079","3804.82850790426","3179.11372847767","2977.74167433557","3232.12611809278","3291.65820708068","3192.95359577027","3048.23094224546","3435.93982971212","4021.18255456939","3634.47968094087","3799.93391709123","4441.33660233838","4637.95125622807","4477.49865489151","5054.99537392633","5079.53592536373","5509.32571131709","5082.27111476666","4309.58721391805","3646.9898164509","3267.79220098721","2983.87295349644","2991.43078360256",
"Colombia","COL","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7932.94481133457","7978.10336995165","8174.49142654112","8526.1554757905","8940.70479647331","9243.60527175112","9230.17315568607","9376.67988995195","9318.10584875352","8792.9576415397","8857.49101617775","8842.33535635484","8907.75982051646","9056.61140321834","9396.84630516734","9810.98579599408","10322.9278219413","10836.5488165712","11003.1472699907","11049.105734561","11347.0960233865","11930.2812691663","12344.8075093413","12902.5120661356","13429.1201251547","13898.6123397001","14043.9586841847","13912.3643674335","13941.6697454184","14260.3563675501","13175.4646692967",
"Comoros","COM","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3055.13491529698","2807.81526760089","2987.99055776077","2976.93156044449","2733.40024908774","2757.0754545425","2643.49739987191","2676.23620307633","2635.65196949047","2621.91297296498","2835.22635202627","2833.27960939893","2819.70121880826","2809.27974069781","2793.37720118896","2807.43760956058","2815.0507567847","2781.47011862108","2813.15301892839","2835.6016038303","2874.53591004951","2921.36947095339","2940.24199532347","3004.90975999332","2999.1364479246","2970.77225686887","3003.50435425276","3049.0061794111","3084.81468280004","","",
"Cabo Verde","CPV","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5895.20996878049","6177.30413882747","6028.9509624206","5928.47475226107","6119.90718858469","6087.39975735386","6106.20139058533","5970.96118559811","6035.2210379409","6251.54098700471","6413.99914080175","6703.11397354048","7019.15124834041","5909.41995526313",
"Costa Rica","CRI","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9498.35323576833","9652.24716810426","10292.7479497812","10757.8498890827","11101.237935244","11231.8494203281","11161.3468963341","11489.9440567296","11912.580698423","11948.4444677988","12063.2968805669","12261.3986023182","12477.1249293367","12815.1240199001","13245.7424394752","13648.0103777447","14576.0750699742","15614.3881427064","16243.1398641886","15662.5932806267","16319.343605906","16812.5162507562","17458.439996774","17595.1675106945","17920.1520569462","18328.7545551076","18903.5183940707","19283.5103550641","19462.6655762619","19585.7880532954","18551.5725055585",
"Caribbean small states","CSS","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25693.7701589105","","","",
